edad,hora_lectura_preferida,velocidad_lectura,engagement_promedio,valence_musical_pref,energia_musical_pref,contenido_visual_pref,genero_libro_rec,tipo_vino_rec,genero_musical_rec,genero_serie_rec
38,noche,media,0.67,0.41,0.45,series largas,thriller,bajo en acidez,reggaeton,drama
38,noche,alta,0.71,0.77,0.34,series largas,romance,bajo en acidez,jazz,comedia
38,manana,media,1.0,0.69,0.87,series largas,fantasia,espumoso,rock,ciencia ficcion
33,tarde,baja,0.85,0.57,0.37,anime,fantasia,bajo en acidez,jazz,drama
30,noche,media,0.91,0.48,0.44,series cortas,ciencia ficcion,bajo en acidez,reggaeton,drama
18,noche,media,0.76,0.81,0.46,peliculas,romance,dulce,pop,comedia
31,tarde,media,0.81,0.42,0.87,anime,ciencia ficcion,espumoso,rock,accion
19,tarde,alta,1.0,0.78,0.81,anime,fantasia,dulce,electronica,accion
30,noche,media,0.77,0.52,0.71,documentales,thriller,dulce,electronica,ciencia ficcion
33,tarde,alta,0.81,0.39,0.73,peliculas,fantasia,espumoso,rock,terror
29,manana,baja,0.72,0.78,0.45,peliculas,romance,afrutado,pop,comedia
22,noche,alta,0.88,0.62,0.66,anime,fantasia,afrutado,reggaeton,ciencia ficcion
23,tarde,alta,0.84,0.63,0.69,anime,fantasia,dulce,pop,accion
33,manana,alta,0.66,0.39,0.52,series cortas,thriller,bajo en acidez,reggaeton,drama
19,tarde,alta,0.62,0.87,0.62,peliculas,romance,dulce,pop,comedia
30,noche,media,0.9,0.52,0.73,anime,fantasia,espumoso,reggaeton,accion
45,manana,alta,1.0,0.47,0.94,peliculas,ciencia ficcion,espumoso,rock,ciencia ficcion
27,manana,baja,0.49,0.55,0.49,documentales,no ficcion,bajo en acidez,reggaeton,accion
25,manana,media,0.7,0.59,0.5,anime,ciencia ficcion,bajo en acidez,pop,ciencia ficcion
21,noche,alta,0.91,0.35,0.68,anime,ciencia ficcion,espumoso,electronica,terror
28,tarde,alta,0.88,0.35,0.69,series largas,ciencia ficcion,espumoso,rock,accion
29,noche,alta,1.0,0.26,0.63,peliculas,thriller,espumoso,rock,terror
34,tarde,media,0.69,0.37,0.54,series largas,thriller,bajo en acidez,electronica,ciencia ficcion
25,tarde,media,1.0,0.88,0.47,series cortas,romance,afrutado,pop,comedia
25,noche,media,0.73,0.57,0.64,series largas,ciencia ficcion,afrutado,pop,ciencia ficcion
24,manana,media,0.91,0.56,0.81,documentales,ciencia ficcion,seco,reggaeton,ciencia ficcion
44,noche,media,0.74,0.52,0.45,documentales,no ficcion,seco,jazz,drama
35,noche,alta,0.83,0.28,0.57,series cortas,thriller,seco,rock,terror
40,noche,alta,0.53,0.61,0.18,documentales,no ficcion,bajo en acidez,jazz,drama
33,noche,alta,0.89,0.28,0.67,series cortas,thriller,seco,rock,terror
30,noche,alta,0.78,0.56,0.4,series largas,romance,bajo en acidez,electronica,drama
46,manana,media,0.62,0.38,0.47,documentales,no ficcion,dulce,jazz,drama
30,noche,media,1.0,0.36,0.55,series largas,thriller,dulce,rock,ciencia ficcion
18,noche,alta,0.75,0.73,0.31,series largas,romance,bajo en acidez,reggaeton,comedia
23,noche,media,0.68,0.47,0.56,series largas,thriller,bajo en acidez,electronica,accion
18,noche,alta,0.46,0.83,0.49,peliculas,romance,afrutado,reggaeton,comedia
23,noche,baja,1.0,0.51,0.54,documentales,ciencia ficcion,afrutado,reggaeton,terror
29,noche,media,0.48,0.69,0.38,series cortas,romance,bajo en acidez,jazz,comedia
27,noche,alta,0.98,0.63,0.67,series largas,thriller,seco,electronica,accion
29,tarde,baja,0.89,0.75,0.43,series largas,ciencia ficcion,afrutado,electronica,comedia
35,tarde,alta,0.95,0.42,0.66,documentales,ciencia ficcion,espumoso,rock,ciencia ficcion
25,noche,alta,0.61,0.57,0.84,series largas,thriller,afrutado,reggaeton,terror
36,manana,alta,0.91,0.59,0.64,documentales,ciencia ficcion,espumoso,rock,ciencia ficcion
37,tarde,media,0.91,0.36,0.78,peliculas,thriller,espumoso,rock,terror
34,noche,alta,0.86,0.43,0.75,series largas,thriller,espumoso,rock,ciencia ficcion
27,tarde,alta,0.96,0.85,0.6,series largas,fantasia,dulce,pop,accion
40,tarde,alta,0.8,0.28,0.69,documentales,thriller,dulce,rock,terror
22,noche,alta,0.64,0.94,0.49,anime,romance,afrutado,pop,comedia
41,tarde,media,0.61,0.45,0.58,documentales,no ficcion,seco,reggaeton,ciencia ficcion
31,tarde,alta,0.8,0.19,0.72,series cortas,thriller,dulce,rock,terror
25,manana,media,0.93,0.76,0.99,documentales,fantasia,dulce,reggaeton,accion
34,noche,media,0.94,0.3,0.7,series largas,thriller,espumoso,rock,accion
24,noche,alta,1.0,0.31,0.78,anime,thriller,afrutado,electronica,terror
32,noche,alta,0.7,0.38,0.74,series cortas,thriller,espumoso,rock,ciencia ficcion
21,noche,alta,0.85,0.53,0.49,series largas,fantasia,afrutado,pop,accion
25,tarde,media,0.77,0.47,0.72,documentales,ciencia ficcion,espumoso,electronica,accion
34,noche,alta,0.87,0.43,0.53,series largas,thriller,dulce,rock,accion
57,tarde,baja,0.65,0.39,0.44,documentales,no ficcion,seco,jazz,drama
57,noche,baja,0.47,0.29,0.59,series largas,no ficcion,seco,reggaeton,drama
21,tarde,alta,0.55,0.84,0.34,series largas,romance,bajo en acidez,reggaeton,comedia
29,manana,alta,0.83,0.38,0.91,series cortas,thriller,espumoso,reggaeton,accion
18,noche,alta,0.88,0.49,0.8,anime,fantasia,espumoso,electronica,ciencia ficcion
42,tarde,alta,0.69,0.7,0.48,documentales,romance,bajo en acidez,jazz,terror
25,noche,media,0.73,0.63,0.25,series largas,romance,bajo en acidez,jazz,drama
20,noche,media,0.8,0.49,0.27,documentales,no ficcion,bajo en acidez,jazz,drama
30,noche,alta,0.82,0.39,0.6,series largas,ciencia ficcion,dulce,rock,ciencia ficcion
35,manana,alta,0.8,0.33,0.67,peliculas,thriller,seco,rock,ciencia ficcion
65,tarde,alta,0.72,0.42,0.54,documentales,no ficcion,seco,jazz,drama
18,tarde,alta,0.83,0.72,0.73,anime,fantasia,afrutado,pop,accion
41,noche,baja,0.81,0.37,0.99,anime,thriller,espumoso,rock,accion
35,noche,alta,0.83,0.26,0.75,series largas,thriller,espumoso,rock,terror
21,noche,alta,0.7,0.56,0.64,peliculas,fantasia,seco,reggaeton,accion
37,tarde,baja,0.75,0.2,0.67,documentales,thriller,seco,rock,terror
34,manana,media,1.0,0.3,0.81,anime,ciencia ficcion,espumoso,rock,ciencia ficcion
30,manana,alta,0.67,0.57,0.63,series cortas,thriller,afrutado,pop,accion
28,noche,alta,0.74,0.48,0.72,anime,ciencia ficcion,espumoso,electronica,accion
24,noche,media,0.9,0.62,0.61,series largas,ciencia ficcion,dulce,pop,ciencia ficcion
24,manana,media,0.86,0.54,0.67,peliculas,fantasia,espumoso,electronica,ciencia ficcion
18,manana,alta,0.59,0.39,0.43,series largas,no ficcion,bajo en acidez,electronica,terror
29,noche,baja,0.86,0.53,0.74,series largas,thriller,espumoso,reggaeton,accion
29,noche,alta,0.9,0.74,0.62,series cortas,ciencia ficcion,afrutado,pop,accion
30,manana,media,0.98,0.48,0.86,documentales,ciencia ficcion,espumoso,electronica,accion
36,manana,alta,0.82,0.66,0.56,series cortas,ciencia ficcion,espumoso,reggaeton,ciencia ficcion
19,tarde,media,0.75,0.54,0.35,anime,fantasia,bajo en acidez,reggaeton,drama
32,noche,media,0.73,0.47,0.57,series largas,fantasia,bajo en acidez,electronica,ciencia ficcion
41,tarde,alta,0.55,0.69,0.31,series cortas,no ficcion,bajo en acidez,jazz,drama
28,tarde,alta,0.75,0.85,0.38,anime,romance,afrutado,reggaeton,comedia
35,noche,media,0.75,0.26,0.64,series largas,thriller,seco,rock,terror
18,manana,media,1.0,0.31,0.52,series largas,ciencia ficcion,dulce,reggaeton,ciencia ficcion
29,tarde,baja,0.69,0.34,0.5,series cortas,ciencia ficcion,seco,electronica,drama
46,manana,alta,0.79,0.57,0.47,peliculas,no ficcion,dulce,jazz,drama
24,tarde,alta,0.84,0.61,0.52,series cortas,fantasia,dulce,electronica,ciencia ficcion
29,noche,media,0.64,0.75,0.33,peliculas,romance,bajo en acidez,jazz,comedia
47,manana,baja,0.4,0.34,0.26,documentales,no ficcion,seco,jazz,drama
21,noche,alta,0.8,0.67,0.77,anime,fantasia,afrutado,pop,terror
25,manana,media,0.75,0.52,0.65,series cortas,fantasia,afrutado,reggaeton,ciencia ficcion
45,manana,alta,0.51,0.75,0.37,series cortas,no ficcion,bajo en acidez,jazz,comedia
34,manana,alta,0.59,0.37,0.52,anime,ciencia ficcion,seco,reggaeton,terror
25,noche,baja,0.7,0.6,0.33,anime,ciencia ficcion,bajo en acidez,jazz,drama
37,noche,baja,0.59,0.4,0.8,peliculas,thriller,espumoso,rock,terror
18,noche,baja,0.64,0.62,0.66,series largas,fantasia,dulce,pop,terror
41,tarde,media,0.86,0.7,0.64,peliculas,ciencia ficcion,espumoso,electronica,ciencia ficcion
18,noche,alta,0.9,0.53,0.74,peliculas,ciencia ficcion,dulce,electronica,terror
37,tarde,media,0.64,0.66,0.84,anime,ciencia ficcion,espumoso,rock,accion
36,tarde,media,0.85,0.85,0.53,series cortas,romance,dulce,pop,comedia
29,tarde,media,0.79,0.32,0.62,series largas,thriller,seco,rock,accion
29,tarde,alta,1.0,0.61,0.78,documentales,thriller,espumoso,electronica,accion
18,tarde,media,0.82,0.56,0.52,series largas,fantasia,seco,pop,ciencia ficcion
22,tarde,media,0.53,0.81,0.55,documentales,romance,seco,pop,comedia
21,tarde,alta,0.48,0.78,0.38,series largas,romance,bajo en acidez,reggaeton,comedia
18,tarde,alta,0.65,0.78,0.48,peliculas,romance,afrutado,electronica,comedia
29,noche,alta,0.96,0.48,0.44,series cortas,romance,bajo en acidez,electronica,ciencia ficcion
30,noche,alta,0.72,0.28,0.79,anime,ciencia ficcion,espumoso,rock,terror
26,tarde,media,0.79,0.63,0.39,series largas,romance,afrutado,electronica,terror
32,manana,media,0.6,0.45,0.86,peliculas,thriller,espumoso,rock,accion
29,noche,media,0.88,0.39,0.52,series largas,thriller,bajo en acidez,reggaeton,terror
25,noche,alta,0.69,0.93,0.51,series cortas,romance,afrutado,pop,comedia
47,tarde,alta,0.55,0.39,0.36,series cortas,no ficcion,seco,jazz,drama
30,tarde,alta,0.84,0.66,0.52,series largas,fantasia,afrutado,pop,accion
35,noche,baja,0.75,0.53,0.31,series largas,romance,bajo en acidez,jazz,drama
43,manana,alta,1.0,0.41,0.52,series largas,ciencia ficcion,seco,electronica,drama
40,tarde,media,0.58,0.62,0.37,series largas,no ficcion,bajo en acidez,jazz,terror
30,noche,alta,0.96,0.7,0.77,series cortas,fantasia,seco,electronica,accion
18,tarde,alta,0.71,0.41,0.62,anime,ciencia ficcion,dulce,reggaeton,accion
20,tarde,baja,0.87,0.31,0.66,peliculas,ciencia ficcion,espumoso,electronica,terror
19,noche,alta,0.79,0.6,0.85,peliculas,fantasia,dulce,electronica,accion
41,noche,alta,0.9,0.67,0.88,peliculas,thriller,espumoso,rock,accion
33,noche,baja,1.0,0.45,0.42,documentales,fantasia,afrutado,reggaeton,drama
19,noche,media,0.84,0.69,0.66,anime,fantasia,dulce,pop,accion
18,noche,media,0.9,0.58,0.73,anime,ciencia ficcion,dulce,electronica,accion
37,noche,media,0.62,0.5,0.55,series cortas,no ficcion,seco,electronica,ciencia ficcion
27,tarde,baja,0.85,0.93,0.34,anime,romance,afrutado,pop,comedia
27,noche,baja,0.81,0.43,0.7,series largas,thriller,espumoso,electronica,terror
20,noche,alta,0.7,0.76,0.23,series largas,romance,bajo en acidez,jazz,comedia
36,manana,alta,0.91,0.58,0.58,documentales,fantasia,espumoso,reggaeton,ciencia ficcion
40,tarde,baja,0.45,0.6,0.24,peliculas,no ficcion,seco,jazz,drama
19,tarde,alta,0.83,0.74,0.65,series largas,fantasia,dulce,pop,comedia
22,tarde,media,0.81,0.67,0.69,series largas,romance,afrutado,pop,accion
42,noche,alta,0.82,0.59,0.6,peliculas,ciencia ficcion,dulce,rock,ciencia ficcion
32,noche,alta,0.84,0.4,0.88,series cortas,thriller,espumoso,rock,accion
23,noche,alta,0.7,0.36,0.62,documentales,thriller,afrutado,rock,ciencia ficcion
41,manana,baja,0.82,0.48,0.56,series largas,ciencia ficcion,bajo en acidez,rock,terror
46,tarde,media,0.96,0.42,0.22,series largas,no ficcion,seco,jazz,drama
28,tarde,baja,0.86,0.71,0.61,series cortas,romance,afrutado,pop,ciencia ficcion
26,tarde,alta,0.74,0.43,0.65,series largas,thriller,seco,electronica,ciencia ficcion
32,tarde,baja,0.71,0.53,0.85,series largas,thriller,espumoso,rock,accion
30,noche,alta,0.78,0.27,0.54,peliculas,ciencia ficcion,seco,rock,terror
24,noche,media,1.0,0.45,0.8,anime,ciencia ficcion,espumoso,electronica,accion
29,noche,alta,0.86,0.6,0.56,series cortas,ciencia ficcion,dulce,pop,ciencia ficcion
26,noche,alta,0.82,0.36,0.7,documentales,ciencia ficcion,dulce,rock,ciencia ficcion
29,noche,alta,0.64,0.41,0.51,anime,thriller,seco,electronica,drama
42,tarde,media,0.62,0.6,0.5,anime,no ficcion,bajo en acidez,jazz,drama
34,manana,media,0.89,0.43,0.68,series cortas,thriller,espumoso,rock,accion
18,noche,alta,0.6,0.9,0.56,series cortas,romance,dulce,pop,comedia
47,noche,media,0.8,0.42,0.5,peliculas,no ficcion,seco,reggaeton,drama
34,tarde,baja,0.65,0.52,0.37,anime,no ficcion,bajo en acidez,jazz,drama
43,manana,baja,0.58,0.54,0.27,documentales,no ficcion,dulce,jazz,terror
18,manana,alta,0.91,0.82,0.79,anime,fantasia,dulce,reggaeton,terror
29,tarde,alta,0.71,0.42,0.94,series largas,ciencia ficcion,espumoso,electronica,accion
18,noche,media,0.88,0.64,0.61,documentales,fantasia,seco,pop,accion
21,noche,media,0.84,0.16,0.73,anime,thriller,dulce,rock,terror
36,noche,media,1.0,0.46,0.92,anime,thriller,espumoso,rock,accion
26,tarde,media,0.61,0.64,0.23,peliculas,romance,bajo en acidez,jazz,drama
18,noche,media,0.74,0.49,0.48,anime,ciencia ficcion,bajo en acidez,electronica,ciencia ficcion
33,noche,alta,0.86,0.18,0.45,peliculas,thriller,seco,rock,drama
28,noche,alta,0.73,0.15,0.77,anime,thriller,dulce,rock,terror
18,noche,media,0.49,0.64,0.48,series cortas,romance,bajo en acidez,reggaeton,comedia
34,tarde,alta,0.76,0.45,0.82,anime,thriller,espumoso,rock,terror
19,manana,media,0.75,0.54,0.43,series largas,ciencia ficcion,dulce,reggaeton,drama
44,manana,alta,0.75,0.64,0.37,documentales,no ficcion,bajo en acidez,jazz,drama
18,manana,media,0.82,0.44,0.41,anime,ciencia ficcion,bajo en acidez,electronica,accion
24,tarde,baja,0.97,0.93,0.59,anime,fantasia,dulce,pop,comedia
29,noche,alta,0.88,0.51,0.68,peliculas,thriller,espumoso,electronica,ciencia ficcion
38,manana,baja,0.84,0.54,0.87,peliculas,ciencia ficcion,espumoso,rock,ciencia ficcion
31,noche,media,0.85,0.45,0.53,series largas,thriller,dulce,electronica,ciencia ficcion
26,manana,alta,0.76,0.33,0.62,documentales,ciencia ficcion,seco,rock,terror
33,noche,media,0.85,0.43,0.78,anime,ciencia ficcion,espumoso,rock,ciencia ficcion
43,tarde,baja,0.63,0.49,0.45,series cortas,no ficcion,bajo en acidez,jazz,drama
36,tarde,media,0.67,0.5,0.48,series largas,no ficcion,bajo en acidez,electronica,terror
27,tarde,alta,0.74,0.78,0.36,anime,fantasia,seco,reggaeton,comedia
32,noche,alta,0.88,0.4,0.41,documentales,thriller,bajo en acidez,reggaeton,drama
29,noche,baja,0.49,0.7,0.5,series largas,romance,afrutado,electronica,comedia
51,tarde,media,0.75,0.52,0.36,anime,no ficcion,seco,jazz,drama
26,manana,alta,0.77,0.59,0.73,series cortas,fantasia,afrutado,reggaeton,accion
54,manana,alta,0.72,0.47,0.47,anime,no ficcion,seco,jazz,drama
27,tarde,media,0.74,0.34,0.65,peliculas,fantasia,dulce,rock,terror
24,noche,alta,0.77,0.49,0.4,peliculas,romance,bajo en acidez,reggaeton,drama
31,manana,media,0.74,0.49,0.38,series cortas,no ficcion,bajo en acidez,jazz,drama
25,noche,alta,0.69,0.49,0.64,anime,fantasia,afrutado,reggaeton,accion
28,noche,alta,0.64,0.78,0.67,peliculas,romance,afrutado,pop,comedia
39,noche,alta,0.97,0.42,0.49,peliculas,ciencia ficcion,bajo en acidez,rock,ciencia ficcion
33,noche,alta,0.57,0.75,0.49,series largas,romance,bajo en acidez,electronica,comedia
26,tarde,alta,0.74,0.52,0.79,series largas,thriller,afrutado,reggaeton,ciencia ficcion
22,tarde,media,0.8,1.0,0.44,series cortas,romance,dulce,pop,comedia
25,tarde,alta,0.77,0.53,0.65,anime,fantasia,afrutado,electronica,ciencia ficcion
18,noche,alta,0.71,0.77,0.34,series cortas,romance,seco,reggaeton,comedia
33,noche,media,0.95,0.59,0.56,series largas,thriller,espumoso,pop,ciencia ficcion
39,manana,media,0.52,0.59,0.59,documentales,no ficcion,bajo en acidez,electronica,accion
39,manana,media,0.72,0.45,0.78,peliculas,thriller,espumoso,rock,ciencia ficcion
18,noche,media,0.75,0.77,0.58,series largas,romance,dulce,pop,comedia
27,noche,media,0.75,0.7,0.48,series largas,fantasia,dulce,pop,comedia
44,manana,media,0.75,0.39,0.35,anime,no ficcion,seco,jazz,terror
36,noche,baja,0.81,0.91,0.48,series cortas,romance,seco,pop,comedia
24,manana,alta,0.79,0.43,0.59,series largas,ciencia ficcion,afrutado,reggaeton,ciencia ficcion
37,noche,alta,0.73,0.47,0.47,documentales,ciencia ficcion,seco,electronica,drama
53,tarde,alta,0.63,0.43,0.38,documentales,no ficcion,seco,jazz,drama
35,tarde,alta,0.79,0.76,0.16,series largas,romance,bajo en acidez,jazz,drama
26,tarde,alta,0.5,0.48,0.59,series largas,fantasia,bajo en acidez,electronica,ciencia ficcion
31,noche,alta,0.9,0.17,0.59,series largas,thriller,seco,rock,terror
36,noche,alta,0.9,0.59,0.61,documentales,ciencia ficcion,espumoso,reggaeton,terror
37,manana,media,0.75,0.52,0.75,anime,thriller,espumoso,rock,accion
26,noche,baja,1.0,0.59,0.62,anime,fantasia,afrutado,electronica,ciencia ficcion
21,noche,baja,0.64,0.79,0.57,peliculas,romance,afrutado,pop,comedia
35,manana,media,0.84,0.44,0.55,documentales,no ficcion,seco,rock,ciencia ficcion
36,manana,alta,0.75,0.72,0.61,series cortas,ciencia ficcion,afrutado,pop,comedia
29,noche,alta,0.83,0.44,0.68,peliculas,thriller,espumoso,rock,ciencia ficcion
36,noche,alta,0.7,0.44,0.72,series cortas,thriller,espumoso,rock,ciencia ficcion
34,noche,alta,0.84,0.64,0.73,series cortas,fantasia,espumoso,electronica,ciencia ficcion
30,noche,media,0.67,0.51,0.77,documentales,ciencia ficcion,espumoso,electronica,terror
23,noche,media,1.0,0.4,0.66,series largas,thriller,espumoso,electronica,ciencia ficcion
24,tarde,alta,0.61,0.86,0.54,series largas,romance,dulce,pop,comedia
35,manana,alta,0.84,0.82,0.17,peliculas,romance,afrutado,jazz,terror
42,tarde,alta,0.81,0.32,0.37,anime,ciencia ficcion,dulce,jazz,drama
32,noche,media,0.69,0.46,0.82,anime,thriller,afrutado,rock,accion
23,tarde,media,0.57,0.59,0.39,peliculas,no ficcion,bajo en acidez,jazz,terror
32,noche,alta,0.66,0.56,0.65,documentales,ciencia ficcion,afrutado,electronica,ciencia ficcion
34,tarde,media,0.6,0.64,0.4,documentales,no ficcion,seco,jazz,terror
45,manana,alta,0.92,0.66,0.65,series cortas,ciencia ficcion,espumoso,rock,accion
40,noche,alta,0.87,0.25,0.6,series cortas,thriller,seco,rock,terror
33,noche,alta,0.68,0.3,0.76,anime,thriller,dulce,rock,terror
38,noche,baja,1.0,0.64,0.91,peliculas,ciencia ficcion,espumoso,rock,accion
20,manana,media,0.63,0.77,0.52,anime,fantasia,afrutado,pop,comedia
40,noche,media,0.87,0.62,0.8,peliculas,thriller,espumoso,rock,accion
38,manana,media,0.6,0.36,0.45,documentales,no ficcion,dulce,jazz,drama
20,noche,alta,0.64,0.48,0.35,documentales,no ficcion,bajo en acidez,jazz,drama
18,tarde,media,0.66,0.73,0.5,anime,romance,dulce,pop,comedia
29,tarde,media,0.81,0.9,0.46,documentales,romance,afrutado,pop,comedia
37,noche,baja,0.96,0.39,0.7,anime,thriller,espumoso,rock,ciencia ficcion
35,noche,alta,0.71,0.9,0.66,peliculas,romance,afrutado,pop,comedia
26,noche,alta,0.67,0.53,0.61,documentales,thriller,afrutado,pop,accion
53,manana,baja,0.77,0.53,0.39,series largas,no ficcion,dulce,jazz,drama
27,tarde,media,0.86,0.69,0.32,series largas,no ficcion,afrutado,reggaeton,accion
18,noche,media,0.89,0.66,0.54,anime,fantasia,dulce,pop,ciencia ficcion
22,noche,media,0.79,0.62,0.34,documentales,romance,bajo en acidez,reggaeton,drama
27,tarde,media,0.95,0.79,0.56,series largas,ciencia ficcion,afrutado,pop,comedia
30,tarde,alta,1.0,0.54,0.51,documentales,fantasia,dulce,electronica,ciencia ficcion
30,tarde,media,0.7,0.6,0.21,series largas,romance,bajo en acidez,jazz,drama
24,noche,alta,0.72,0.76,0.55,documentales,romance,dulce,pop,comedia
21,noche,media,0.8,0.49,0.5,documentales,no ficcion,afrutado,electronica,terror
32,noche,alta,0.85,0.4,0.59,series largas,thriller,seco,rock,terror
37,noche,alta,0.68,0.65,0.78,documentales,thriller,espumoso,rock,accion
30,noche,media,0.86,0.81,0.5,series largas,fantasia,dulce,pop,comedia
33,tarde,baja,1.0,0.59,0.72,anime,thriller,espumoso,electronica,ciencia ficcion
30,tarde,media,0.72,0.81,0.53,peliculas,romance,afrutado,pop,comedia
43,noche,baja,0.59,0.5,0.41,peliculas,no ficcion,seco,jazz,drama
19,noche,media,0.62,0.33,0.67,series largas,thriller,dulce,electronica,terror
39,tarde,baja,1.0,0.65,0.68,anime,ciencia ficcion,espumoso,rock,ciencia ficcion
27,noche,media,0.57,0.72,0.53,peliculas,romance,dulce,reggaeton,comedia
31,noche,alta,0.7,0.6,0.37,series largas,fantasia,bajo en acidez,jazz,drama
18,tarde,media,0.72,0.89,0.54,series cortas,romance,dulce,pop,comedia
31,noche,baja,0.86,0.3,0.69,series largas,thriller,dulce,rock,ciencia ficcion
46,manana,alta,0.62,0.53,0.12,anime,no ficcion,seco,jazz,drama
26,tarde,alta,0.71,0.65,0.65,anime,fantasia,afrutado,pop,terror
43,tarde,baja,0.8,0.62,0.55,documentales,no ficcion,afrutado,reggaeton,ciencia ficcion
51,tarde,media,0.7,0.7,0.79,anime,ciencia ficcion,espumoso,rock,terror
30,noche,media,0.84,0.41,0.46,series cortas,ciencia ficcion,seco,electronica,drama
20,noche,alta,1.0,0.73,0.42,peliculas,fantasia,afrutado,pop,ciencia ficcion
27,tarde,alta,0.97,0.26,0.77,documentales,thriller,espumoso,rock,terror
33,noche,media,0.69,0.34,0.7,peliculas,thriller,dulce,rock,terror
29,noche,alta,0.62,0.74,0.37,series largas,romance,afrutado,reggaeton,comedia
64,tarde,media,0.4,0.58,0.06,series largas,no ficcion,seco,jazz,drama
43,noche,alta,0.75,0.55,0.55,anime,fantasia,bajo en acidez,reggaeton,drama
18,tarde,alta,0.81,0.62,0.78,series largas,fantasia,afrutado,electronica,accion
41,noche,media,0.34,0.54,0.21,documentales,no ficcion,seco,jazz,drama
31,noche,alta,0.82,0.47,0.85,anime,thriller,espumoso,electronica,accion
33,tarde,media,0.57,0.82,0.22,peliculas,romance,bajo en acidez,jazz,comedia
32,tarde,alta,0.81,0.56,0.73,peliculas,fantasia,espumoso,reggaeton,ciencia ficcion
41,tarde,alta,0.69,0.58,0.48,peliculas,ciencia ficcion,bajo en acidez,jazz,drama
34,noche,baja,0.87,0.74,0.64,peliculas,fantasia,espumoso,pop,ciencia ficcion
26,noche,baja,0.83,0.52,0.72,series largas,thriller,espumoso,electronica,ciencia ficcion
24,tarde,alta,0.77,0.41,0.86,anime,thriller,espumoso,reggaeton,terror
18,noche,baja,0.71,0.89,0.58,peliculas,romance,afrutado,pop,comedia
20,noche,alta,0.39,0.82,0.38,peliculas,romance,bajo en acidez,jazz,comedia
27,tarde,media,0.77,0.66,0.53,series largas,fantasia,seco,electronica,ciencia ficcion
36,noche,media,0.68,0.58,0.37,peliculas,no ficcion,seco,jazz,drama
42,manana,baja,0.96,0.39,0.47,peliculas,thriller,seco,reggaeton,terror
28,noche,alta,0.52,0.32,0.89,series largas,thriller,espumoso,rock,terror
27,noche,media,0.92,0.39,0.66,series largas,fantasia,espumoso,electronica,terror
18,manana,media,0.67,0.69,0.51,series largas,fantasia,afrutado,pop,comedia
39,tarde,alta,0.88,0.42,0.66,anime,thriller,espumoso,rock,accion
24,noche,media,0.67,0.86,0.52,series largas,romance,afrutado,pop,comedia
23,tarde,alta,0.57,0.54,0.51,anime,fantasia,bajo en acidez,electronica,terror
26,noche,media,0.61,0.56,0.78,anime,fantasia,espumoso,reggaeton,accion
21,noche,alta,0.72,0.61,0.48,series cortas,fantasia,seco,electronica,terror
24,tarde,baja,0.77,0.64,0.61,series largas,fantasia,dulce,pop,accion
43,tarde,media,0.58,0.77,0.51,documentales,no ficcion,afrutado,jazz,comedia
32,manana,media,0.92,0.74,0.7,series cortas,ciencia ficcion,afrutado,reggaeton,accion
35,manana,alta,0.77,0.52,0.28,documentales,no ficcion,seco,jazz,drama
33,noche,alta,0.75,0.4,0.44,series largas,thriller,seco,electronica,drama
46,tarde,media,0.63,0.47,0.32,documentales,no ficcion,seco,jazz,drama
37,manana,media,0.61,0.51,0.69,anime,thriller,dulce,rock,accion
34,manana,media,0.43,0.75,0.55,documentales,no ficcion,bajo en acidez,reggaeton,comedia
34,manana,alta,0.68,0.46,0.73,anime,thriller,espumoso,rock,accion
34,tarde,alta,0.9,0.53,0.71,series cortas,thriller,espumoso,rock,accion
33,noche,alta,0.96,0.52,0.72,series largas,ciencia ficcion,espumoso,rock,accion
36,noche,alta,0.51,0.08,0.83,documentales,thriller,seco,rock,terror
30,manana,baja,0.83,0.45,0.45,peliculas,no ficcion,bajo en acidez,electronica,drama
36,tarde,baja,0.58,0.65,0.64,peliculas,no ficcion,afrutado,pop,comedia
39,noche,media,0.92,0.27,0.5,series largas,ciencia ficcion,seco,rock,terror
22,manana,media,0.71,0.52,0.26,peliculas,no ficcion,afrutado,jazz,drama
36,manana,alta,0.82,0.53,0.61,series largas,ciencia ficcion,espumoso,rock,accion
33,noche,media,0.77,0.61,0.46,documentales,romance,afrutado,electronica,ciencia ficcion
35,manana,baja,0.79,0.65,0.63,anime,fantasia,espumoso,electronica,accion
49,tarde,media,0.72,0.35,0.38,series largas,no ficcion,seco,jazz,drama
25,tarde,media,0.69,0.75,0.43,series largas,romance,dulce,electronica,comedia
35,manana,alta,0.85,0.25,0.66,peliculas,thriller,seco,rock,accion
53,noche,media,0.64,0.29,0.64,anime,no ficcion,seco,rock,drama
30,noche,alta,0.92,0.8,0.63,peliculas,ciencia ficcion,afrutado,pop,comedia
30,noche,baja,0.41,0.53,0.46,series largas,no ficcion,bajo en acidez,jazz,accion
32,noche,media,0.73,1.0,0.35,series largas,romance,dulce,reggaeton,comedia
28,tarde,media,0.62,0.73,0.57,documentales,romance,afrutado,pop,comedia
26,noche,media,0.73,0.43,0.66,peliculas,thriller,dulce,electronica,ciencia ficcion
33,noche,baja,0.5,0.43,0.19,series cortas,no ficcion,seco,jazz,drama
21,tarde,alta,0.59,0.73,0.41,peliculas,romance,seco,reggaeton,comedia
